Pond ID,Section,Distance,Big_leaf_maple,Bitter_cherry,Black_hawthorne,Black_twinberry,Deer_fern,Douglas_fir,Dull_oregon_grape,English_holly,English_ivy,English_oak,Flowering_red_currant,Himalayan_blackberry,Indian_plum,Laurel,Paper_birch,Red_alder,Salmonberry,Snowberry,Sword_fern,Thimbleberry,Trailing_blackberry,Western_red_cedar
NE,S,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0
NE,E,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,15,0
NE,E,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,10,0,0,0
NE,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,100,0,5,0
NE,E,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,20,20,0,90,0,60,0
NE,E,1,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,30,0,25,0,15,0
NE,N,5,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,10,10,0,0,0
NE,N,3,0,0,0,0,0,0,0,0,0,100,0,0,5,5,0,0,0,0,0,0,20,0
NE,N,1,0,0,0,0,20,0,0,0,0,50,0,0,0,5,0,30,0,0,0,0,20,0
NE,N,6,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,100,30,0,0,0,20,0
NE,N,9,0,0,0,0,0,0,0,20,0,20,0,0,0,5,0,0,5,25,30,0,50,0
NE,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,10,20,0
NE,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,60,0
NE,W,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,40,0,0,0,30,0
NE,W,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,20,0
NE,W,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
